Scenario - subjective stimulus intensity
Logfile written - 10/10/2017 23:31:12

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
vp13	306	Picture	VAS	390647	0	1	1167	1	0	next	other	0
vp13	307	Picture	VAS	391814	0	1	1167	1	0	next	other	0
vp13	308	Picture	VAS	392980	0	1	1167	1	0	next	other	0
vp13	309	Picture	VAS	394147	0	1	1167	1	0	next	other	0
vp13	310	Picture	VAS	395313	0	1	1167	1	0	next	other	0
vp13	311	Picture	VAS	396480	0	1	1167	1	0	next	other	0
vp13	312	Picture	VAS	397647	0	1	1167	1	0	next	other	0
vp13	313	Picture	VAS	398813	0	1	1167	1	0	next	other	0
vp13	314	Picture	VAS	399980	0	1	1167	1	0	next	other	0
vp13	315	Picture	VAS	401146	0	1	1167	1	0	next	other	0
vp13	316	Picture	VAS	402313	0	1	1167	1	0	next	other	0
vp13	317	Picture	VAS	403480	0	1	1167	1	0	next	other	0
vp13	318	Picture	VAS	404646	0	1	1167	1	0	next	other	0
vp13	319	Picture	VAS	405813	0	1	1167	1	0	next	other	0
vp13	320	Picture	VAS	406980	0	1	1165	3	0	next	other	0
vp13	321	Picture	VAS	408144	0	3	1169	3	0	next	other	0
vp13	322	Picture	VAS	409313	0	1	1167	1	0	next	other	0
vp13	323	Picture	VAS	410479	0	1	1167	1	0	next	other	0
vp13	324	Picture	VAS	411646	0	1	1167	1	0	next	other	0
vp13	325	Picture	VAS	412813	0	1	1167	1	0	next	other	0
vp13	326	Picture	VAS	413979	0	1	1167	1	0	next	other	0
vp13	327	Picture	VAS	415146	0	1	1167	1	0	next	other	0
vp13	328	Picture	VAS	416312	0	1	1167	1	0	next	other	0
vp13	329	Picture	VAS	417479	0	1	1167	1	0	next	other	0
vp13	330	Picture	VAS	418646	0	1	1167	1	0	next	other	0
vp13	331	Picture	VAS	419812	0	1	1167	1	0	next	other	0
vp13	332	Picture	VAS	420979	0	1	1167	1	0	next	other	0
vp13	333	Picture	VAS	422145	0	1	1167	1	0	next	other	0
vp13	334	Picture	VAS	423312	0	1	1167	1	0	next	other	0
vp13	335	Picture	VAS	424479	0	1	1075	92	0	next	other	0
vp13	336	Picture	VAS	425554	0	92	1258	92	0	next	other	0
vp13	337	Picture	VAS	426812	0	1	1167	1	0	next	other	0
vp13	338	Picture	VAS	427979	0	1	1167	1	0	next	other	0
vp13	339	Picture	VAS	429145	0	1	1167	1	0	next	other	0
vp13	340	Picture	VAS	430312	0	1	1167	1	0	next	other	0
vp13	341	Picture	VAS	431478	0	1	1167	1	0	next	other	0
vp13	342	Picture	VAS	432645	0	1	1167	1	0	next	other	0
