"trial_number","ml","mr","pr","pl","rr","rl","revealed_o_l","revealed_x_l","revealed_o_r","revealed_x_r","mag_left","mag_right","info_amb"
214,-11,-14,0.44,0.44,1,0.02,0,1,27,23,-11,-14,0.02
215,-85,-78,0.18,0.18,1,1,41,9,41,9,-85,-78,1
216,-89,-80,0.7,0.6,1,0.06,1,2,15,35,-89,-80,0.06
217,-54,-132,0.48,0.88,1,1,6,44,26,24,-54,-132,1
218,-80,-8,0.8,0.48,1,0.1,3,2,10,40,-80,-8,0.1
219,-11,-31,0.52,0.8,1,1,11,39,24,26,-11,-31,1
220,20,44,0.42,0.86,0.2,1,7,43,1,9,20,44,0.2
221,42,71,0.84,0.72,0.06,1,14,36,0,3,42,71,0.06
222,15,17,0.58,0.58,1,1,21,29,21,29,15,17,1
223,130,68,0.42,0.22,1,1,38,12,28,22,130,68,1
224,70,80,0.8,0.75,1,0.8,15,25,10,40,70,80,0.8
225,-97,-86,0.68,0.64,1,1,18,32,16,34,-97,-86,1
226,-80,-23,0.84,0.22,1,0.1,4,1,8,42,-80,-23,0.1
227,-74,-96,0.68,0.68,1,0.06,0,3,16,34,-74,-96,0.06
228,-84,-100,0.68,0.84,0.2,1,8,42,5,5,-84,-100,0.2
229,-9,-22,0.68,0.56,1,1,22,28,16,34,-9,-22,1
230,-55,-100,0.66,0.62,0.8,1,19,31,15,25,-55,-100,0.8
231,-31,-31,0.48,0.96,1,1,3,47,25,25,-31,-31,1
232,-5,-12,0.56,0.7,1,1,14,36,22,28,-5,-12,1
233,-38,-81,0.38,0.64,1,0.02,1,0,31,19,-38,-81,0.02
234,-7,-14,0.42,0.84,1,1,9,41,27,23,-7,-14,1
235,-38,-42,0.72,0.8,1,1,10,40,13,37,-38,-42,1
236,-80,-89,0.68,0.8,1,1,10,40,16,34,-80,-89,1
237,-114,-78,0.88,0.56,1,1,22,28,6,44,-114,-78,1
238,-63,-58,0.52,0.08,0.1,1,45,5,2,3,-63,-58,0.1
239,-5,-25,0.6,0.96,1,1,3,47,20,30,-5,-25,1
240,21,60,0.36,0.66,0.2,1,18,32,6,4,21,60,0.2
241,11,16,0.4,0.28,1,1,37,13,29,21,11,16,1
242,7,5,0.76,0.84,1,1,9,41,11,39,7,5,1
243,11,8,0.64,0.44,0.06,1,27,23,1,2,11,8,0.06
244,40,50,0.5,0.72,1,0.1,1,4,25,25,40,50,0.1
245,-50,-56,0.08,0.56,1,0.8,19,21,46,4,-50,-56,0.8
246,-26,-73,0.3,0.88,0.2,1,6,44,5,5,-26,-73,0.2
247,-11,-42,0.72,0.44,1,1,27,23,13,37,-11,-42,1
248,-23,-7,0.68,0.64,1,1,17,33,16,34,-23,-7,1
249,-47,-24,0.8,0.72,1,1,13,37,11,39,-47,-24,1
250,97,86,0.68,0.64,1,1,18,32,16,34,97,86,1
251,80,23,0.82,0.22,1,0.1,4,1,4,46,80,23,0.1
252,74,88,0.6,0.68,1,0.06,1,2,20,30,74,88,0.06
253,84,95,0.68,0.76,0.2,1,12,38,5,5,84,95,0.2
254,9,22,0.68,0.56,1,1,22,28,16,34,9,22,1
255,85,78,0.18,0.18,1,1,41,9,40,10,85,78,1
256,89,74,0.7,0.6,1,0.06,1,2,15,35,89,74,0.06
257,54,132,0.48,0.88,1,1,6,44,26,24,54,132,1
258,63,8,0.8,0.48,1,0.1,3,2,10,40,63,8,0.1
259,11,31,0.52,0.8,1,1,11,39,24,26,11,31,1
260,-6,-5,0.92,0.84,1,1,8,42,4,46,-6,-5,1
261,-34,-94,0.16,0.88,1,1,7,43,41,9,-34,-94,1
262,-60,-74,0.34,0.6,1,0.2,5,5,31,19,-60,-74,0.2
