id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number
77738,A27BPRHBM28XZS,49,3/10/17 8:50,1.48914E+12,X,3121,5276,0.36,0.62,left,0.8,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-38,-81,-38,FALSE,combined,15,32,25,18,0
77789,A27BPRHBM28XZS,50,3/10/17 9:02,1.48914E+12,X,2771,5276,0.52,0.38,left,0.8,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-9,-13,-9,FALSE,combined,20,20,20,30,0
77791,A27BPRHBM28XZS,51,3/10/17 9:02,1.48914E+12,O,1733,5276,0.12,0.84,right,0.2,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-34,-94,0,FALSE,combined,3,41,7,9,0
77792,A27BPRHBM28XZS,52,3/10/17 9:03,1.48914E+12,X,3022,5276,0.26,0.62,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-28,-40,-40,FALSE,combined,13,31,37,19,0
77794,A27BPRHBM28XZS,53,3/10/17 9:03,1.48914E+12,X,3041,5276,0.72,0.32,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-62,-22,-62,FALSE,combined,37,15,13,35,0
77795,A27BPRHBM28XZS,54,3/10/17 9:03,1.48914E+12,O,946,5276,0.8,0.62,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-118,-32,0,FALSE,combined,39,31,11,19,0
77797,A27BPRHBM28XZS,55,3/10/17 9:03,1.48914E+12,X,1158,5276,0.48,0.08,right,1,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-115,-5,-5,FALSE,combined,23,4,27,16,0
77799,A27BPRHBM28XZS,56,3/10/17 9:03,1.48914E+12,O,4303,5276,0.24,0.44,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-77,-118,0,FALSE,combined,12,23,38,27,0
77801,A27BPRHBM28XZS,57,3/10/17 9:03,1.48914E+12,X,3019,5276,0.14,0.08,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-29,-25,-25,FALSE,combined,6,4,44,46,0
77802,A27BPRHBM28XZS,58,3/10/17 9:03,1.48914E+12,X,1829,5276,0.32,0.16,left,0.4,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-91,-84,-91,FALSE,combined,7,8,13,42,0
77803,A27BPRHBM28XZS,59,3/10/17 9:04,1.48914E+12,X,2994,5276,0.56,0.52,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-144,-114,-144,FALSE,combined,28,26,22,24,0
77805,A27BPRHBM28XZS,60,3/10/17 9:04,1.48914E+12,O,2872,5185,0.36,0.62,right,0.2,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,38,81,0,FALSE,combined,3,31,7,19,0
77807,A27BPRHBM28XZS,61,3/10/17 9:04,1.48914E+12,O,1522,5185,0.32,0.78,left,0.4,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,4,11,0,FALSE,combined,5,39,15,11,0
77808,A27BPRHBM28XZS,62,3/10/17 9:04,1.48914E+12,X,1756,5185,0.08,0.36,left,0.2,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,70,97,70,FALSE,combined,1,18,9,32,0
77810,A27BPRHBM28XZS,63,3/10/17 9:04,1.48914E+12,O,1624,5185,0.9,0.44,right,1,0.1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,33,5,0,FALSE,combined,46,1,4,4,0
77811,A27BPRHBM28XZS,64,3/10/17 9:04,1.48914E+12,X,1178,5185,0.2,0.32,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,19,48,48,FALSE,combined,10,16,40,34,0
77813,A27BPRHBM28XZS,65,3/10/17 9:04,1.48914E+12,X,1440,5255,0.38,0.26,left,1,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,70,48,51,48,FALSE,combined,20,5,30,15,0
77815,A27BPRHBM28XZS,66,3/10/17 9:05,1.48914E+12,O,2592,5255,0.08,0.64,right,0.8,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,70,5,42,0,FALSE,combined,4,31,36,19,0
77816,A27BPRHBM28XZS,67,3/10/17 9:05,1.48914E+12,O,1954,5255,0.68,0.56,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,70,39,42,0,FALSE,combined,34,27,16,23,0
77817,A27BPRHBM28XZS,68,3/10/17 9:05,1.48914E+12,X,1878,5255,0.24,0.48,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,70,42,61,42,FALSE,combined,12,25,38,25,0
77819,A27BPRHBM28XZS,69,3/10/17 9:05,1.48914E+12,O,1593,5255,0.18,0.68,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,70,37,115,0,FALSE,combined,10,33,40,17,0
77821,A27BPRHBM28XZS,70,3/10/17 9:05,1.48914E+12,X,1896,5255,0.04,0.4,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-16,-8,-8,FALSE,combined,2,20,48,30,0
77822,A27BPRHBM28XZS,71,3/10/17 9:05,1.48914E+12,X,1552,5255,0.64,0.08,left,0.06,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-98,-65,-98,FALSE,combined,1,4,2,46,0
77824,A27BPRHBM28XZS,72,3/10/17 9:05,1.48914E+12,O,1754,5255,0.24,0.32,right,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-88,-74,0,FALSE,combined,12,1,38,0,0
77825,A27BPRHBM28XZS,73,3/10/17 9:05,1.48914E+12,O,2365,5255,0.04,0.68,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-15,-53,0,FALSE,combined,3,33,47,17,0
77827,A27BPRHBM28XZS,74,3/10/17 9:06,1.48914E+12,X,2155,5255,0.34,0.3,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-22,-23,-22,FALSE,combined,17,15,33,35,0
77829,A27BPRHBM28XZS,75,3/10/17 9:06,1.48914E+12,O,2577,5255,0.72,0.38,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,106,44,0,FALSE,combined,36,18,14,32,0
77830,A27BPRHBM28XZS,76,3/10/17 9:06,1.48914E+12,X,2330,5255,0.5,0.5,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,11,19,11,FALSE,combined,24,26,26,24,0
77831,A27BPRHBM28XZS,77,3/10/17 9:06,1.48914E+12,X,1739,5255,0.52,0.44,left,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,125,80,125,FALSE,combined,27,1,23,0,0
77833,A27BPRHBM28XZS,78,3/10/17 9:06,1.48914E+12,X,2084,5255,0.26,0.6,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,16,38,16,FALSE,combined,13,30,37,20,0
77834,A27BPRHBM28XZS,79,3/10/17 9:06,1.48914E+12,X,921,5255,0.36,0.08,left,1,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,97,70,97,FALSE,combined,19,0,31,1,0
77836,A27BPRHBM28XZS,80,3/10/17 9:06,1.48914E+12,X,2016,5380,0.56,0.48,right,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,125,-68,-29,-29,FALSE,combined,27,15,23,25,0
77838,A27BPRHBM28XZS,81,3/10/17 9:07,1.48914E+12,X,2041,5380,0.36,0.48,left,0.4,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,125,-94,-115,-94,FALSE,combined,12,25,8,25,0
77839,A27BPRHBM28XZS,82,3/10/17 9:07,1.48914E+12,O,1257,5380,0.74,0.8,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,125,-62,-134,0,FALSE,combined,36,40,14,10,0
77841,A27BPRHBM28XZS,83,3/10/17 9:07,1.48914E+12,X,1672,5380,0.78,0.32,right,0.06,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,125,-27,-7,-7,FALSE,combined,2,17,1,33,0
77842,A27BPRHBM28XZS,84,3/10/17 9:07,1.48914E+12,X,3026,5380,0.24,0.12,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,125,-39,-34,-34,FALSE,combined,13,6,37,44,0
77844,A27BPRHBM28XZS,85,3/10/17 9:07,1.48914E+12,O,2401,5286,0.64,0.4,right,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-94,72,60,0,FALSE,combined,31,20,19,30,0
77845,A27BPRHBM28XZS,86,3/10/17 9:07,1.48914E+12,X,1294,5286,0.12,0.06,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-94,30,29,30,FALSE,combined,6,4,44,46,0
77847,A27BPRHBM28XZS,87,3/10/17 9:07,1.48914E+12,X,2279,5286,0.16,0.68,left,1,1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-94,18,47,18,FALSE,combined,8,33,42,17,0
77849,A27BPRHBM28XZS,88,3/10/17 9:07,1.48914E+12,X,1659,5286,0.84,0.12,right,1,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-94,94,34,34,FALSE,combined,41,5,9,35,0
