"trial_number","pl","pr","revealed_left","revealed_right","mag_left","mag_right","revealed_o_l","revealed_o_r","revealed_x_l","revealed_x_r","mag_ambig","mag_unambig","info_amb"
226,0.22,0.84,0.1,1,-60,-23,4,8,1,42,-60,-23,0.1
227,0.68,0.76,0.06,1,-74,-88,1,13,2,37,-74,-88,0.06
228,0.84,0.68,1,0.2,-84,-91,8,5,42,5,-91,-84,0.2
229,0.56,0.68,1,1,-9,-22,22,16,28,34,,,1
230,0.62,0.9,1,0.8,-55,-42,19,5,31,35,-42,-55,0.8
231,0.96,0.48,1,1,-31,-31,3,25,47,25,,,1
232,0.7,0.56,1,1,-5,-12,14,22,36,28,,,1
233,0.64,0.38,0.02,1,-38,-81,1,31,0,19,-38,-81,0.02
234,0.84,0.42,1,1,-7,-14,9,27,41,23,,,1
235,0.8,0.72,1,1,-38,-42,10,13,40,37,,,1
236,0.8,0.68,1,1,-80,-89,10,16,40,34,,,1
237,0.56,0.88,1,1,-114,-78,22,6,28,44,,,1
238,0.08,0.52,1,0.1,-63,-58,45,2,5,3,-58,-63,0.1
239,0.96,0.6,1,1,-5,-25,3,20,47,30,,,1
240,0.66,0.36,1,0.2,21,49,18,6,32,4,49,21,0.2
241,0.28,0.4,1,1,11,16,37,29,13,21,,,1
242,0.84,0.76,1,1,7,5,9,11,41,39,,,1
243,0.44,0.64,1,0.06,11,8,27,1,23,2,8,11,0.06
244,0.72,0.44,0.1,1,40,74,1,27,4,23,40,74,0.1
245,0.56,0.08,0.8,1,-5,-56,19,46,21,4,-5,-56,0.8
246,0.88,0.3,1,0.2,-26,-73,6,5,44,5,-73,-26,0.2
247,0.44,0.72,1,1,-11,-42,27,13,23,37,,,1
248,0.64,0.68,1,1,-23,-7,17,16,33,34,,,1
249,0.72,0.8,1,1,-47,-24,13,11,37,39,,,1
250,0.64,0.68,1,1,97,86,18,16,32,34,,,1
251,0.22,0.84,0.1,1,60,23,4,8,1,42,60,23,0.1
252,0.68,0.76,0.06,1,74,88,1,13,2,37,74,88,0.06
253,0.84,0.68,1,0.2,84,91,8,5,42,5,91,84,0.2
254,0.56,0.68,1,1,9,22,22,16,28,34,,,1
255,0.18,0.18,1,1,85,78,41,40,9,10,,,1
256,0.6,0.72,0.06,1,89,74,1,13,2,37,89,74,0.06
257,0.88,0.48,1,1,54,132,6,26,44,24,,,1
258,0.48,0.64,0.1,1,63,8,3,18,2,32,63,8,0.1
259,0.8,0.52,1,1,11,31,11,24,39,26,,,1
260,0.84,0.92,1,1,-6,-5,8,4,42,46,,,1
261,0.88,0.16,1,1,-34,-94,7,41,43,9,,,1
262,0.6,0.34,0.2,1,-54,-74,5,31,5,19,-54,-74,0.2
263,0.26,0.48,1,1,-8,-9,37,25,13,25,,,1
264,0.68,0.22,1,0.02,-7,-27,16,1,34,0,-27,-7,0.02
265,0.42,0.26,1,0.4,33,60,28,17,22,3,60,33,0.4
266,0.88,0.16,0.02,1,34,94,0,42,1,8,34,94,0.02
267,0.96,0.68,0.1,1,72,89,0,16,5,34,72,89,0.1
268,0.48,0.24,1,1,11,14,26,37,24,13,,,1
269,0.04,0.92,1,1,125,5,48,4,2,46,,,1
270,0.8,0.72,1,1,38,42,10,14,40,36,,,1
271,0.8,0.68,1,1,80,89,10,16,40,34,,,1
272,0.56,0.88,1,1,114,78,22,6,28,44,,,1
273,0.08,0.52,1,0.1,63,58,45,2,5,3,58,63,0.1
274,0.96,0.6,1,1,5,25,3,20,47,30,,,1
275,0.66,0.36,1,0.2,-21,-49,18,6,32,4,-49,-21,0.2
276,0.28,0.4,1,1,-11,-16,37,29,13,21,,,1
277,0.84,0.76,1,1,-7,-5,9,11,41,39,,,1
278,0.44,0.64,1,0.06,-11,-8,27,1,23,2,-8,-11,0.06
279,0.72,0.44,0.1,1,-40,-74,1,27,4,23,-40,-74,0.1
280,0.36,0.6,1,1,-72,-60,31,21,19,29,,,1
281,0.88,0.94,1,1,-30,-29,6,4,44,46,,,1
282,0.84,0.32,1,1,-18,-47,8,33,42,17,,,1
283,0.16,0.88,1,0.8,-94,-34,41,5,9,35,-34,-94,0.8
284,0.24,0.94,1,1,-116,-42,37,4,13,46,,,1
285,0.6,0.32,0.1,1,25,47,2,35,3,15,25,47,0.1
286,0.96,0.68,0.4,1,9,18,0,17,20,33,9,18,0.4
287,0.96,0.52,1,0.8,63,29,3,19,47,21,29,63,0.8
288,0.94,0.64,1,1,39,52,3,18,47,32,,,1
289,0.88,0.12,1,0.02,17,125,6,0,44,1,125,17,0.02
290,0.6,0.34,0.4,1,54,74,5,31,15,19,54,74,0.4
291,0.64,0.4,1,1,93,127,19,30,31,20,,,1
292,0.36,0.66,0.02,1,39,21,1,16,0,34,39,21,0.02
293,0.48,0.62,0.2,1,9,13,5,20,5,30,9,13,0.2
294,0.04,0.48,1,1,125,63,48,25,2,25,,,1
295,0.62,0.74,1,0.4,-48,-51,20,6,30,14,-51,-48,0.4
296,0.92,0.36,0.8,1,-5,-42,4,31,36,19,-5,-42,0.8
297,0.32,0.44,1,1,-39,-42,34,27,16,23,,,1
298,0.76,0.52,1,1,-42,-61,12,25,38,25,,,1
299,0.82,0.32,1,1,-37,-115,10,33,40,17,,,1
