,resp_r_1,prob_o_l,prob_o_r,mag_left,mag_right,info_amb,revealed_o_r,num_revealed,info_amb_sqrt,resp_amb_1,ambig_r,ambig_l,gain_or_loss_trial,mag_ambig,mag_unambig,prob_x_unambig,prob_x_ambig,prob_x_l,prob_x_r,revealed_o_ambig,revealed_x_ambig,revealed_ambi,prob_x_ambig_bayes,ambiguityLevel,MID
128,0.0,0.32000000000000006,0.92,0.05,0.62,0.1,0.0,5.0,0.31622776601683794,0.0,1,0.0,gain,0.62,0.05,0.6799999999999999,0.07999999999999996,0.6799999999999999,0.07999999999999996,0.0,5.0,0.31622776601683794,0.14285714285714285,1.0,S30
129,0.0,0.24,0.43999999999999995,0.27,0.23,1.0,28.000000000000004,50.0,1.0,0.0,0,0.0,gain,0.23,0.27,0.76,0.56,0.76,0.56,28.000000000000004,21.999999999999996,1.0,0.5576923076923077,-4.291502622129181,S30
130,0.0,0.32000000000000006,0.68,0.44,0.94,0.04,2.0,2.0,0.2,0.0,1,0.0,gain,0.94,0.44,0.6799999999999999,0.31999999999999995,0.6799999999999999,0.31999999999999995,2.0,0.0,0.2,0.75,-0.41421356237309515,S30
131,0.0,0.68,0.36,0.16,0.08,0.2,8.0,10.0,0.4472135954999579,0.0,1,0.0,gain,0.08,0.16,0.31999999999999995,0.64,0.31999999999999995,0.64,8.0,2.0,0.4472135954999579,0.75,-1.8284271247461903,S30
132,0.0,0.56,0.09999999999999998,0.18,0.05,1.0,45.0,50.0,1.0,0.0,0,0.0,gain,0.05,0.18,0.43999999999999995,0.9,0.43999999999999995,0.9,45.0,5.0,1.0,0.8846153846153846,-5.708203932499369,S30
133,0.0,0.4,0.24,0.91,0.85,1.0,38.0,50.0,1.0,0.0,0,0.0,gain,0.85,0.91,0.6,0.76,0.6,0.76,38.0,12.0,1.0,0.75,-5.164414002968976,S30
134,0.0,0.24,0.16000000000000003,0.86,0.78,0.08,3.0,4.0,0.282842712474619,0.0,1,0.0,gain,0.78,0.86,0.76,0.84,0.76,0.84,3.0,1.0,0.282842712474619,0.6666666666666666,-0.7320508075688772,S30
135,0.0,0.68,0.52,0.16,0.31,1.0,24.0,50.0,1.0,0.0,0,0.0,gain,0.31,0.16,0.31999999999999995,0.48,0.31999999999999995,0.48,24.0,26.0,1.0,0.4807692307692308,-3.8989794855663558,S30
136,1.0,0.4,0.84,0.28,0.97,1.0,8.000000000000002,50.0,1.0,1.0,0,0.0,gain,0.97,0.28,0.6,0.16000000000000003,0.6,0.16000000000000003,8.000000000000002,42.0,1.0,0.1730769230769231,-1.8284271247461903,S30
137,0.0,0.24,0.36,0.39,0.47,1.0,32.0,50.0,1.0,0.0,0,0.0,gain,0.47,0.39,0.76,0.64,0.76,0.64,32.0,18.0,1.0,0.6346153846153846,-4.656854249492381,S30
138,0.0,0.24,0.48,0.04,0.11,0.06,1.0,3.0,0.2449489742783178,0.0,1,0.0,gain,0.11,0.04,0.76,0.52,0.76,0.52,1.0,2.0,0.2449489742783178,0.4,0.0,S30
139,0.0,0.6,0.16000000000000003,1.27,0.63,1.0,42.0,50.0,1.0,0.0,0,0.0,gain,0.63,1.27,0.4,0.84,0.4,0.84,42.0,8.0,1.0,0.8269230769230769,-5.48074069840786,S30
140,0.0,0.36,0.12,0.81,0.67,0.4,19.0,20.0,0.6324555320336759,0.0,1,0.0,gain,0.67,0.81,0.64,0.88,0.64,0.88,19.0,1.0,0.6324555320336759,0.9090909090909091,-3.358898943540674,S30
141,1.0,0.8,0.78,1.26,0.75,0.1,1.0,5.0,0.31622776601683794,1.0,1,0.0,gain,0.75,1.26,0.19999999999999996,0.21999999999999997,0.19999999999999996,0.21999999999999997,1.0,4.0,0.31622776601683794,0.2857142857142857,0.0,S30
142,0.0,0.16000000000000003,0.19999999999999996,0.74,0.8,0.8,31.0,40.0,0.8944271909999159,0.0,1,0.0,gain,0.8,0.74,0.84,0.8,0.84,0.8,31.0,9.0,0.8944271909999159,0.7619047619047619,-4.5677643628300215,S30
143,1.0,0.38,0.84,0.06,0.28,1.0,8.000000000000002,50.0,1.0,1.0,0,0.0,gain,0.28,0.06,0.62,0.16000000000000003,0.62,0.16000000000000003,8.000000000000002,42.0,1.0,0.1730769230769231,-1.8284271247461903,S30
144,1.0,0.28,0.78,0.39,1.17,1.0,10.999999999999998,50.0,1.0,1.0,0,0.0,gain,1.17,0.39,0.72,0.21999999999999997,0.72,0.21999999999999997,10.999999999999998,39.0,1.0,0.23076923076923073,-2.3166247903553994,S30
